ORF,myStddev,myMean,myCV
YML017W,0.074084061,2.683401956,0.027608261
YDR466W,0.014187824,3.408185989,0.004162867
YCL068C,0.04693003,2.824432776,0.016615736
YFL049W,0.023226237,3.427211702,0.006777007
YKL167C,0.015264596,3.507185622,0.004352378
YOR264W,0.020864107,3.497895025,0.005964761
YIR039C,0.050044756,3.316458724,0.015089817
YDL061C,0.00601582,3.843608558,0.001565149
YKL108W,0.033006881,3.165032722,0.010428607
YLR127C,0.021770076,3.14018955,0.006932727
YOL122C,0.02413115,3.483025903,0.006928214
YKL208W,0.019600766,3.270924395,0.005992424
YPR117W,0.034648911,3.369909778,0.010281851
YPL119C,0.037262301,2.988322725,0.012469303
YDL177C,0.015658363,3.248302235,0.004820476
YDR195W,0.027515829,3.384435746,0.008130108
YER053C,0.050352797,3.594223628,0.014009367
YOL105C,0.03356822,3.394997631,0.009887553
YOR104W,0.012013496,3.308085205,0.003631556
YCL018W,0.007687941,3.839260339,0.002002454
YBR110W,0.005602783,3.421898916,0.001637332
YDR518W,0.024529433,3.580424557,0.006850984
YDR210W,0.032405277,3.56344114,0.009093816
YJR033C,0.017510964,3.174876955,0.005515478
YLR089C,0.021424141,3.632455125,0.005897978
YBL036C,0.009749598,3.556089228,0.002741663
YDR363W,0.028412254,2.959872404,0.009599148
YBR002C,0.024026016,3.326130068,0.007223414
YMR227C,0.024143232,3.152220537,0.007659119
YJL097W,0.022394788,3.611480832,0.006200999
YNL118C,0.017111093,3.323826967,0.00514801
YIL161W,0.022638304,3.384023399,0.00668976
YCL054W,0.036255087,3.412605265,0.010623874
YDR006C,0.016560349,3.464446971,0.004780084
YOL019W-A,0.113558524,2.130750086,0.053295093
YOL162W,0.047334786,3.092914009,0.015304268
YPR121W,0.031784167,3.218188253,0.009876416
YPR031W,0.015373775,3.220100901,0.004774315
YFL039C,0.004349517,3.85412724,0.001128535
YFL047W,0.017733992,3.376244984,0.005252579
YDR331W,0.023429908,3.374738834,0.006942732
YGR174W-A,0.106918585,2.224038707,0.048074067
YDR515W,0.047319311,2.957662404,0.015998889
YDL184C,0.07635587,3.007495441,0.025388524
YHR128W,0.029095321,3.697939295,0.007867982
YDR261C,0.019548032,3.511296573,0.005567183
YOL077W-A,0.016468426,3.543087397,0.004648044
YJR058C,0.015482281,3.542929446,0.004369909
YDR118W,0.019726239,3.1492369,0.006263816
YDR119W,0.015859705,3.630551203,0.004368401
YDL125C,0.009780406,3.727811408,0.002623632
YDL191W,0.005834725,3.837538114,0.001520435
YMR178W,0.010964339,3.620477208,0.003028424
YGR083C,0.014883288,3.465904635,0.0042942
YDR253C,0.052024181,2.953477298,0.017614552
YOR285W,0.015568256,3.788940346,0.004108868
YBR017C,0.007685486,3.6353788,0.002114081
YPL235W,0.010760512,3.59573643,0.002992575
YFL067W,0.104029546,2.833551554,0.036713483
YGR075C,0.018819023,3.210375802,0.005861938
YOR223W,0.028625274,3.096316361,0.009244945
YBR084C-A,0.009384099,3.77897724,0.002483238
YBR296C,0.122524725,3.275539388,0.037405969
YIL132C,0.032710931,3.081796636,0.010614241
YML064C,0.0151881,3.331275043,0.004559245
YDL176W,0.022367138,3.135631171,0.007133217
YGL114W,0.009409826,3.427261403,0.002745582
YJL192C,0.027849077,3.55843837,0.007826207
YHR005C,0.016191907,3.554524272,0.004555295
YPL130W,0.082769637,2.623021786,0.03155507
YJR067C,0.026126818,3.351482702,0.0077956
YCR088W,0.021553184,3.591062952,0.006001895
YDR393W,0.02505375,3.140228245,0.007978321
YPL215W,0.019401105,3.425137419,0.005664329
YGR279C,0.013609756,3.785942965,0.003594813
YAL003W,0.004654952,3.828700313,0.001215805
YOR161C-C,0.036672871,2.405141867,0.015247696
YML023C,0.023326212,3.323864254,0.007017799
YDR168W,0.017657192,3.599194142,0.004905874
YGL196W,0.017041475,3.421305787,0.004980986
